Seed,Method,Depth,Set,Accuracy
42,CART,1,Train,0.545
42,CART,1,Test,0.475
42,CART,2,Train,0.5792857142857143
42,CART,2,Test,0.49
42,CART,3,Train,0.5978571428571429
42,CART,3,Test,0.485
42,CART,4,Train,0.6314285714285715
42,CART,4,Test,0.495
42,CART,5,Train,0.6657142857142857
42,CART,5,Test,0.475
42,CART,6,Train,0.7164285714285714
42,CART,6,Test,0.53
42,CART,7,Train,0.7814285714285715
42,CART,7,Test,0.5033333333333333
42,CART,8,Train,0.845
42,CART,8,Test,0.5
42,CART,9,Train,0.9078571428571428
42,CART,9,Test,0.515
42,CART,10,Train,0.9414285714285714
42,CART,10,Test,0.49166666666666664
42,CART,11,Train,0.9707142857142858
42,CART,11,Test,0.5033333333333333
42,CART,12,Train,0.9857142857142858
42,CART,12,Test,0.5183333333333333
42,CART,13,Train,0.995
42,CART,13,Test,0.505
42,CART,14,Train,0.9985714285714286
42,CART,14,Test,0.4866666666666667
42,OC1,1,Train,0.55
42,OC1,1,Test,0.49333333333333335
42,OC1,2,Train,0.5978571428571429
42,OC1,2,Test,0.495
42,OC1,3,Train,0.6335714285714286
42,OC1,3,Test,0.49333333333333335
42,OC1,4,Train,0.6957142857142857
42,OC1,4,Test,0.495
42,OC1,5,Train,0.765
42,OC1,5,Test,0.49666666666666665
42,OC1,6,Train,0.8442857142857143
42,OC1,6,Test,0.51
42,OC1,7,Train,0.9128571428571428
42,OC1,7,Test,0.5333333333333333
42,OC1,8,Train,0.9542857142857143
42,OC1,8,Test,0.48333333333333334
42,OC1,9,Train,0.9771428571428571
42,OC1,9,Test,0.51
42,OC1,10,Train,0.9907142857142858
42,OC1,10,Test,0.5016666666666667
42,OC1,11,Train,0.9928571428571429
42,OC1,11,Test,0.48833333333333334
42,OC1,12,Train,0.9978571428571429
42,OC1,12,Test,0.49833333333333335
42,OC1,13,Train,1.0
42,OC1,13,Test,0.5233333333333333
42,OC1,14,Train,1.0
42,OC1,14,Test,0.5233333333333333
43,CART,1,Train,0.5357142857142857
43,CART,1,Test,0.5183333333333333
43,CART,2,Train,0.5435714285714286
43,CART,2,Test,0.51
43,CART,3,Train,0.5721428571428572
43,CART,3,Test,0.47833333333333333
43,CART,4,Train,0.6185714285714285
43,CART,4,Test,0.5016666666666667
43,CART,5,Train,0.6435714285714286
43,CART,5,Test,0.515
43,CART,6,Train,0.7157142857142857
43,CART,6,Test,0.535
43,CART,7,Train,0.7742857142857142
43,CART,7,Test,0.5083333333333333
43,CART,8,Train,0.8428571428571429
43,CART,8,Test,0.525
43,CART,9,Train,0.8935714285714286
43,CART,9,Test,0.5233333333333333
