dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
mpra_enhancers,cart,kmer_count,42,max_depth,1.0,2,1.0,train,0.6297491929476037,0.4540461369461736,0.8641114982578397,0.3079215296746958,0.6121177695156994
mpra_enhancers,cart,kmer_count,42,max_depth,1.0,2,1.0,test,0.33687943262411346,0.277992277992278,0.9230769230769231,0.16363636363636364,0.8035312205524971
mpra_enhancers,cart,kmer_count,42,max_depth,2.0,2,1.0,train,0.7204494661037993,0.683177372827693,0.7882773177463874,0.6028060591010678,0.709815256556917
mpra_enhancers,cart,kmer_count,42,max_depth,2.0,2,1.0,test,0.6950354609929078,0.7712765957446809,0.9294871794871795,0.6590909090909091,0.8798242618116893
mpra_enhancers,cart,kmer_count,42,max_depth,3.0,2,1.0,train,0.7298857710454433,0.709642976309643,0.7671331698167653,0.6601688601936926,0.7517605590717202
mpra_enhancers,cart,kmer_count,42,max_depth,3.0,2,1.0,test,0.7127659574468085,0.7917737789203085,0.9112426035502958,0.7,0.8966871766675608
mpra_enhancers,cart,kmer_count,42,max_depth,4.0,2,1.0,train,0.7345418425627017,0.711237169097785,0.779686111933669,0.6538366029302211,0.7821210987147922
mpra_enhancers,cart,kmer_count,42,max_depth,4.0,2,1.0,test,0.723404255319149,0.7979274611398963,0.927710843373494,0.7,0.9207260640050174
mpra_enhancers,cart,kmer_count,42,max_depth,5.0,2,1.0,train,0.7408120188726098,0.7004376838630982,0.8296787353391127,0.606034268686367,0.8112070846156502
mpra_enhancers,cart,kmer_count,42,max_depth,5.0,2,1.0,test,0.6595744680851063,0.7333333333333333,0.9428571428571428,0.6,0.9393124485086458
mpra_enhancers,cart,kmer_count,42,max_depth,6.0,2,1.0,train,0.7493791904643655,0.7201386481802426,0.8152566316119918,0.6448969456170847,0.8207255870299898
mpra_enhancers,cart,kmer_count,42,max_depth,6.0,2,1.0,test,0.6737588652482269,0.75,0.9324324324324325,0.6272727272727273,0.9386296875264643
mpra_enhancers,cart,kmer_count,43,max_depth,1.0,2,1.0,train,0.6297491929476037,0.4540461369461736,0.8641114982578397,0.3079215296746958,0.6121177695156994
mpra_enhancers,cart,kmer_count,43,max_depth,1.0,2,1.0,test,0.33687943262411346,0.277992277992278,0.9230769230769231,0.16363636363636364,0.8035312205524971
mpra_enhancers,cart,kmer_count,43,max_depth,2.0,2,1.0,train,0.7204494661037993,0.683177372827693,0.7882773177463874,0.6028060591010678,0.709815256556917
mpra_enhancers,cart,kmer_count,43,max_depth,2.0,2,1.0,test,0.6950354609929078,0.7712765957446809,0.9294871794871795,0.6590909090909091,0.8798242618116893
mpra_enhancers,cart,kmer_count,43,max_depth,3.0,2,1.0,train,0.7298857710454433,0.709642976309643,0.7671331698167653,0.6601688601936926,0.7517605590717202
mpra_enhancers,cart,kmer_count,43,max_depth,3.0,2,1.0,test,0.7127659574468085,0.7917737789203085,0.9112426035502958,0.7,0.8966871766675608
mpra_enhancers,cart,kmer_count,43,max_depth,4.0,2,1.0,train,0.7345418425627017,0.711237169097785,0.779686111933669,0.6538366029302211,0.7821210987147922
mpra_enhancers,cart,kmer_count,43,max_depth,4.0,2,1.0,test,0.723404255319149,0.7979274611398963,0.927710843373494,0.7,0.9207260640050174
mpra_enhancers,cart,kmer_count,43,max_depth,5.0,2,1.0,train,0.7408120188726098,0.7004376838630982,0.8296787353391127,0.606034268686367,0.8112070846156502
mpra_enhancers,cart,kmer_count,43,max_depth,5.0,2,1.0,test,0.6595744680851063,0.7333333333333333,0.9428571428571428,0.6,0.9393124485086458
mpra_enhancers,cart,kmer_count,43,max_depth,6.0,2,1.0,train,0.7493791904643655,0.7201386481802426,0.8152566316119918,0.6448969456170847,0.8207255870299898
mpra_enhancers,cart,kmer_count,43,max_depth,6.0,2,1.0,test,0.6737588652482269,0.75,0.9324324324324325,0.6272727272727273,0.9386296875264643
