dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
mpra_enhancers,oc1,identity,42,max_depth,1.0,20,1.0,train,0.5248323814253787,0.24872398900667453,0.5937207122774133,0.15731313632977403,0.5147434991874202
mpra_enhancers,oc1,identity,42,max_depth,1.0,20,1.0,test,0.3617021276595745,0.3382352941176471,0.8846153846153846,0.20909090909090908,0.8019863115607796
mpra_enhancers,oc1,identity,42,max_depth,2.0,20,1.0,train,0.5393593245592252,0.304331520720045,0.6213629402756509,0.2015147752669481,0.5366886614055263
mpra_enhancers,oc1,identity,42,max_depth,2.0,20,1.0,test,0.38652482269503546,0.397212543554007,0.8507462686567164,0.2590909090909091,0.8143004161171149
mpra_enhancers,oc1,identity,42,max_depth,3.0,20,1.0,train,0.5402284579091134,0.3297737556561086,0.6081441922563418,0.2262229947851999,0.5521679934858887
mpra_enhancers,oc1,identity,42,max_depth,3.0,20,1.0,test,0.3900709219858156,0.410958904109589,0.8333333333333334,0.2727272727272727,0.8110699790752982
mpra_enhancers,oc1,identity,42,max_depth,4.0,20,1.0,train,0.5570523963248075,0.5454545454545454,0.5601203715818396,0.5315371244102309,0.571095310745304
mpra_enhancers,oc1,identity,42,max_depth,4.0,20,1.0,test,0.4716312056737589,0.5826330532212886,0.7591240875912408,0.4727272727272727,0.7943178927003021
mpra_enhancers,oc1,identity,42,max_depth,5.0,20,1.0,train,0.562267196424137,0.4863407882275807,0.5884011986603208,0.4144524459895704,0.5978843426446062
mpra_enhancers,oc1,identity,42,max_depth,5.0,20,1.0,test,0.4929078014184397,0.573134328358209,0.8347826086956521,0.43636363636363634,0.8199795193285072
mpra_enhancers,oc1,identity,42,max_depth,6.0,20,1.0,train,0.597963744723119,0.5138138138138139,0.6498290922901633,0.42488204618822945,0.6174554891165079
mpra_enhancers,oc1,identity,42,max_depth,6.0,20,1.0,test,0.4148936170212766,0.46601941747572817,0.8089887640449438,0.32727272727272727,0.7995898898378322
mpra_enhancers,oc1,identity,43,max_depth,1.0,20,1.0,train,0.5211075242115719,0.3364871838981593,0.5475923852183651,0.24286069034020363,0.511558319529069
mpra_enhancers,oc1,identity,43,max_depth,1.0,20,1.0,test,0.4219858156028369,0.44745762711864406,0.88,0.3,0.8100992907801419
mpra_enhancers,oc1,identity,43,max_depth,2.0,20,1.0,train,0.5266327290787186,0.6422707013840019,0.5161752507352386,0.8498882542835858,0.5287370377547038
mpra_enhancers,oc1,identity,43,max_depth,2.0,20,1.0,test,0.6914893617021277,0.8087912087912088,0.7829787234042553,0.8363636363636363,0.8078027079303676
mpra_enhancers,oc1,identity,43,max_depth,3.0,20,1.0,train,0.5493543580829402,0.299797434166104,0.6718547341115434,0.19294760367519245,0.5616018016805284
mpra_enhancers,oc1,identity,43,max_depth,3.0,20,1.0,test,0.35815602836879434,0.33210332103321033,0.8823529411764706,0.20454545454545456,0.800969177588453
mpra_enhancers,oc1,identity,43,max_depth,4.0,20,1.0,train,0.5663645393593245,0.4869629085567389,0.5961158065096206,0.41159672212565185,0.578188746396759
mpra_enhancers,oc1,identity,43,max_depth,4.0,20,1.0,test,0.4148936170212766,0.47619047619047616,0.7894736842105263,0.3409090909090909,0.7997668896803071
mpra_enhancers,oc1,identity,43,max_depth,5.0,20,1.0,train,0.5758008443009685,0.4814449419442969,0.6191684559828226,0.3938415694065061,0.6110134898568942
mpra_enhancers,oc1,identity,43,max_depth,5.0,20,1.0,test,0.4574468085106383,0.5173501577287066,0.845360824742268,0.37272727272727274,0.8369990451958015
mpra_enhancers,oc1,identity,43,max_depth,6.0,20,1.0,train,0.588527439781475,0.5066984221494493,0.6324786324786325,0.42264713185994535,0.6119158368641405
mpra_enhancers,oc1,identity,43,max_depth,6.0,20,1.0,test,0.4397163120567376,0.49032258064516127,0.8444444444444444,0.34545454545454546,0.8125304594285169
mpra_enhancers,oc1,identity,44,max_depth,1.0,20,1.0,train,0.5225974670970946,0.31425004458712325,0.5575949367088607,0.21877328035758628,0.5126002332357851
mpra_enhancers,oc1,identity,44,max_depth,1.0,20,1.0,test,0.41843971631205673,0.4421768707482993,0.8783783783783784,0.29545454545454547,0.8091662745918067
mpra_enhancers,oc1,identity,44,max_depth,2.0,20,1.0,train,0.5417184007946362,0.39362575981600134,0.5815533980582525,0.29749192947603675,0.534080529727343
mpra_enhancers,oc1,identity,44,max_depth,2.0,20,1.0,test,0.4326241134751773,0.4666666666666667,0.875,0.3181818181818182,0.8288324988301863
mpra_enhancers,oc1,identity,44,max_depth,3.0,20,1.0,train,0.5464986342190216,0.37782130993952817,0.6015730946569027,0.2753911100074497,0.5572945518809631
mpra_enhancers,oc1,identity,44,max_depth,3.0,20,1.0,test,0.4148936170212766,0.43686006825938567,0.8767123287671232,0.2909090909090909,0.8072734666532093
mpra_enhancers,oc1,identity,44,max_depth,4.0,20,1.0,train,0.5630121678668984,0.41599601758898197,0.6269067266816705,0.31127390116712195,0.5734302650096689
mpra_enhancers,oc1,identity,44,max_depth,4.0,20,1.0,test,0.43617021276595747,0.4752475247524752,0.8674698795180723,0.32727272727272727,0.8210758472893187
mpra_enhancers,oc1,identity,44,max_depth,5.0,20,1.0,train,0.570461882294512,0.4509165939211174,0.6248075654277546,0.35274397814750436,0.5975141564056867
mpra_enhancers,oc1,identity,44,max_depth,5.0,20,1.0,test,0.4716312056737589,0.5209003215434084,0.8901098901098901,0.36818181818181817,0.8386343051533003
mpra_enhancers,oc1,identity,44,max_depth,6.0,20,1.0,train,0.5847405016141048,0.5194338673755299,0.6163682864450127,0.4488452942637199,0.6044107052611237
mpra_enhancers,oc1,identity,44,max_depth,6.0,20,1.0,test,0.5212765957446809,0.5970149253731343,0.8695652173913043,0.45454545454545453,0.856085332745906
mpra_enhancers,oc1,identity,45,max_depth,1.0,20,1.0,train,0.5200521480009933,0.29183841714756803,0.5564093608103388,0.1977899180531413,0.511157202852107
