dataset,model,featurizer,seed,sweep_param,sweep_value,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,cart,identity,42,max_depth,1.0,1.0,train,0.7595,0.7568250758341759,0.7776623376623376,0.7370753323485968,0.7066957259874541
polymerase,cart,identity,42,max_depth,1.0,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,cart,identity,42,max_depth,2.0,1.0,train,0.7885,0.8114132857779759,0.7413441955193483,0.896110290497292,0.7740236293233796
polymerase,cart,identity,42,max_depth,2.0,1.0,test,0.7838919459729865,0.8059299191374663,0.7304560260586319,0.8987975951903807,0.7665666241735205
polymerase,cart,identity,42,max_depth,3.0,1.0,train,0.8305,0.8405456255879586,0.8045925258892391,0.879862136878385,0.8334359031875523
polymerase,cart,identity,42,max_depth,3.0,1.0,test,0.832416208104052,0.8400954653937948,0.8021877848678214,0.8817635270541082,0.8349425239734272
polymerase,cart,identity,42,max_depth,4.0,1.0,train,0.848,0.8580102755721626,0.8160817414482452,0.9044805514524865,0.8622146162969035
polymerase,cart,identity,42,max_depth,4.0,1.0,test,0.8404202101050525,0.8497409326424871,0.8017777777777778,0.9038076152304609,0.8589725905415788
polymerase,cart,identity,42,max_depth,5.0,1.0,train,0.852,0.8595825426944972,0.8292906178489703,0.8921713441654358,0.8901393415637279
polymerase,cart,identity,42,max_depth,5.0,1.0,test,0.8479239619809905,0.8542665388302972,0.8189338235294118,0.8927855711422845,0.87147100867756
polymerase,cart,identity,42,max_depth,6.0,1.0,train,0.86325,0.8653041122876138,0.8655172413793103,0.8650910881339242,0.9103566954095703
polymerase,cart,identity,42,max_depth,6.0,1.0,test,0.8534267133566783,0.854590570719603,0.8466076696165191,0.8627254509018036,0.8706974997483187
polymerase,cart,identity,43,max_depth,1.0,1.0,train,0.76225,0.7607547169811321,0.7887323943661971,0.7346938775510204,0.715976861167002
polymerase,cart,identity,43,max_depth,1.0,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,cart,identity,43,max_depth,2.0,1.0,train,0.794,0.8166444147752558,0.7532840722495895,0.891642371234208,0.7840522664439699
polymerase,cart,identity,43,max_depth,2.0,1.0,test,0.7838919459729865,0.8059299191374663,0.7304560260586319,0.8987975951903807,0.7665666241735205
polymerase,cart,identity,43,max_depth,3.0,1.0,train,0.8385,0.848071495766698,0.8217866909753874,0.8760932944606414,0.8457893679884803
polymerase,cart,identity,43,max_depth,3.0,1.0,test,0.832416208104052,0.8400954653937948,0.8021877848678214,0.8817635270541082,0.8370399709942646
polymerase,cart,identity,43,max_depth,4.0,1.0,train,0.85375,0.8597458643011269,0.8485565546616185,0.8712342079689018,0.8796885556148625
polymerase,cart,identity,43,max_depth,4.0,1.0,test,0.8424212106053026,0.8465660009741841,0.8236966824644549,0.8707414829659319,0.8625392513104772
polymerase,cart,identity,43,max_depth,5.0,1.0,train,0.86625,0.8716718637562965,0.8607295120795831,0.8828960155490768,0.9000889757618312
polymerase,cart,identity,43,max_depth,5.0,1.0,test,0.8509254627313657,0.8546341463414634,0.8326996197718631,0.8777555110220441,0.8838254768074775
polymerase,cart,identity,43,max_depth,6.0,1.0,train,0.86875,0.876557723959558,0.8492027334851936,0.9057337220602527,0.9197380863953561
polymerase,cart,identity,43,max_depth,6.0,1.0,test,0.8514257128564282,0.8575539568345324,0.8224471021159153,0.8957915831663327,0.8930998389438707
polymerase,cart,identity,44,max_depth,1.0,1.0,train,0.757,0.7530487804878049,0.7771368641845832,0.7304090685066535,0.704377813071243
polymerase,cart,identity,44,max_depth,1.0,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,cart,identity,44,max_depth,2.0,1.0,train,0.79025,0.811672278338945,0.7452596867271228,0.8910793494332183,0.7728656591006323
polymerase,cart,identity,44,max_depth,2.0,1.0,test,0.7838919459729865,0.8059299191374663,0.7304560260586319,0.8987975951903807,0.7665666241735205
polymerase,cart,identity,44,max_depth,3.0,1.0,train,0.83225,0.8411834319526628,0.8091985428051002,0.8758008871365205,0.8310935739237013
polymerase,cart,identity,44,max_depth,3.0,1.0,test,0.832416208104052,0.8400954653937948,0.8021877848678214,0.8817635270541082,0.8349220951781209
polymerase,cart,identity,44,max_depth,4.0,1.0,train,0.84725,0.8524510987684134,0.8357007575757576,0.869886643666831,0.8723006202867827
polymerase,cart,identity,44,max_depth,4.0,1.0,test,0.8424212106053026,0.8465660009741841,0.8236966824644549,0.8707414829659319,0.8657233270202525
polymerase,cart,identity,44,max_depth,5.0,1.0,train,0.86025,0.8653336545410745,0.8463713477851084,0.8851651059635288,0.8960246721595129
polymerase,cart,identity,44,max_depth,5.0,1.0,test,0.8509254627313657,0.8546341463414634,0.8326996197718631,0.8777555110220441,0.8850631425656286
polymerase,cart,identity,44,max_depth,6.0,1.0,train,0.8675,0.8725961538461539,0.8517128108869075,0.8945293247905373,0.91788326119392
polymerase,cart,identity,44,max_depth,6.0,1.0,test,0.8529264632316158,0.8574199806013579,0.8308270676691729,0.8857715430861723,0.8940816775528102
polymerase,cart,identity,45,max_depth,1.0,1.0,train,0.76275,0.7595642259944262,0.7844060701203558,0.7362475442043221,0.7117670427850753
polymerase,cart,identity,45,max_depth,1.0,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,cart,identity,45,max_depth,2.0,1.0,train,0.7955,0.816591928251121,0.7512376237623762,0.8944007858546169,0.7791355284750465
polymerase,cart,identity,45,max_depth,2.0,1.0,test,0.7838919459729865,0.8059299191374663,0.7304560260586319,0.8987975951903807,0.7665666241735205
polymerase,cart,identity,45,max_depth,3.0,1.0,train,0.8355,0.8444444444444444,0.8140382862351869,0.8772102161100196,0.8382484485116735
polymerase,cart,identity,45,max_depth,3.0,1.0,test,0.832416208104052,0.8400954653937948,0.8021877848678214,0.8817635270541082,0.8370399709942646
polymerase,cart,identity,45,max_depth,4.0,1.0,train,0.8485,0.8539054966248795,0.8385416666666666,0.8698428290766208,0.8731053958863564
polymerase,cart,identity,45,max_depth,4.0,1.0,test,0.8424212106053026,0.8465660009741841,0.8236966824644549,0.8707414829659319,0.8673368547638995
polymerase,cart,identity,45,max_depth,5.0,1.0,train,0.85975,0.8648518429294146,0.8486997635933806,0.8816306483300589,0.8961706821120053
polymerase,cart,identity,45,max_depth,5.0,1.0,test,0.8509254627313657,0.8546341463414634,0.8326996197718631,0.8777555110220441,0.8865006651354357
polymerase,cart,identity,45,max_depth,6.0,1.0,train,0.8655,0.8704238921001927,0.8539697542533081,0.887524557956778,0.91590661918348
polymerase,cart,identity,45,max_depth,6.0,1.0,test,0.855927963981991,0.8592375366568915,0.8387404580152672,0.8807615230460922,0.8921469065432257
polymerase,cart,identity,46,max_depth,1.0,1.0,train,0.764,0.7628140703517587,0.7902134305049453,0.7372510927634774,0.7178357151561472
polymerase,cart,identity,46,max_depth,1.0,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,cart,identity,46,max_depth,2.0,1.0,train,0.794,0.8168888888888889,0.7529700942236788,0.8926663428848955,0.7841455155690629
polymerase,cart,identity,46,max_depth,2.0,1.0,test,0.7838919459729865,0.8059299191374663,0.7304560260586319,0.8987975951903807,0.7665666241735205
polymerase,cart,identity,46,max_depth,3.0,1.0,train,0.83575,0.8460997891777934,0.8171945701357466,0.8771248178727538,0.8423957966332304
polymerase,cart,identity,46,max_depth,3.0,1.0,test,0.832416208104052,0.8400954653937948,0.8021877848678214,0.8817635270541082,0.8370399709942646
polymerase,cart,identity,46,max_depth,4.0,1.0,train,0.85025,0.8568697729988053,0.8433678269049859,0.8708110733365712,0.8781321281050422
polymerase,cart,identity,46,max_depth,4.0,1.0,test,0.8424212106053026,0.8465660009741841,0.8236966824644549,0.8707414829659319,0.8654025127538778
polymerase,cart,identity,46,max_depth,5.0,1.0,train,0.86125,0.8675733715103794,0.8527204502814258,0.8829528897523069,0.9014986529810751
polymerase,cart,identity,46,max_depth,5.0,1.0,test,0.8509254627313657,0.8546341463414634,0.8326996197718631,0.8777555110220441,0.8855307049248176
polymerase,cart,identity,46,max_depth,6.0,1.0,train,0.8695,0.874820143884892,0.8640454760776883,0.8858669256920836,0.9222706877867176
polymerase,cart,identity,46,max_depth,6.0,1.0,test,0.8519259629814907,0.8541871921182266,0.8401162790697675,0.8687374749498998,0.8940232182853444
