dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,cart,kmer_count,42,max_depth,1.0,2,1.0,train,0.7225,0.6731448763250883,0.8373626373626374,0.5627769571639586,0.6932483970977323
polymerase,cart,kmer_count,42,max_depth,1.0,2,1.0,test,0.71935967983992,0.6678507992895204,0.8162083936324168,0.5651302605210421,0.6783726164100876
polymerase,cart,kmer_count,42,max_depth,2.0,2,1.0,train,0.7325,0.7716602646180111,0.6809792843691149,0.8902018709995076,0.7881852545956782
polymerase,cart,kmer_count,42,max_depth,2.0,2,1.0,test,0.7258629314657329,0.7641996557659209,0.669683257918552,0.8897795591182365,0.7794674420923511
polymerase,cart,kmer_count,42,max_depth,3.0,2,1.0,train,0.76525,0.7493995196156925,0.8181818181818182,0.691285081240768,0.8335010038228654
polymerase,cart,kmer_count,42,max_depth,3.0,2,1.0,test,0.7558779389694847,0.7395944503735326,0.791095890410959,0.6943887775551102,0.8189102237897985
polymerase,cart,kmer_count,42,max_depth,4.0,2,1.0,train,0.77275,0.7806996381182147,0.7653736991485336,0.7966518956179222,0.8535642145955192
polymerase,cart,kmer_count,42,max_depth,4.0,2,1.0,test,0.7488744372186094,0.7563106796116504,0.7335216572504708,0.7805611222444889,0.8265145559819349
polymerase,cart,kmer_count,42,max_depth,5.0,2,1.0,train,0.783,0.7783452502553626,0.8084880636604774,0.7503692762186115,0.868343354728955
polymerase,cart,kmer_count,42,max_depth,5.0,2,1.0,test,0.7558779389694847,0.7505112474437627,0.7661795407098121,0.7354709418837675,0.830709601588754
polymerase,cart,kmer_count,42,max_depth,6.0,2,1.0,train,0.78425,0.7810200456736869,0.805759162303665,0.757754800590842,0.8801214697703972
polymerase,cart,kmer_count,42,max_depth,6.0,2,1.0,test,0.7493746873436719,0.7434715821812596,0.7602094240837697,0.7274549098196392,0.833998994120909
