dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,logreg,kmer_count,42,C,100.0,2,1.0,train,0.7775,0.7750252780586451,0.7963636363636364,0.7548005908419497,0.8669010170933935
polymerase,logreg,kmer_count,42,C,100.0,2,1.0,test,0.7678839419709855,0.7665995975855131,0.7696969696969697,0.7635270541082164,0.8567655442686817
polymerase,logreg,kmer_count,43,C,100.0,2,1.0,train,0.77475,0.7751434988769653,0.7968188814776809,0.7546161321671526,0.8755737371336239
polymerase,logreg,kmer_count,43,C,100.0,2,1.0,test,0.7668834417208604,0.7662988966900702,0.7670682730923695,0.7655310621242485,0.8566596453992251
polymerase,logreg,kmer_count,44,C,100.0,2,1.0,train,0.78075,0.7766743060860708,0.8034773445732349,0.7516017742730409,0.8745957172222718
polymerase,logreg,kmer_count,44,C,100.0,2,1.0,test,0.7688844422211105,0.7657200811359026,0.7751540041067762,0.7565130260521042,0.8567049453269795
polymerase,logreg,kmer_count,45,C,100.0,2,1.0,train,0.78325,0.7803394983531796,0.8058608058608059,0.756385068762279,0.8773847137778481
polymerase,logreg,kmer_count,45,C,100.0,2,1.0,test,0.7718859429714857,0.768762677484787,0.7782340862422998,0.7595190380761523,0.8558131358257692
polymerase,logreg,kmer_count,46,C,100.0,2,1.0,train,0.7835,0.784147557328016,0.8054275473630312,0.7639630888780962,0.8755869560571292
polymerase,logreg,kmer_count,46,C,100.0,2,1.0,test,0.7673836918459229,0.7657430730478589,0.7700101317122594,0.7615230460921844,0.8574410910943757
