dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,oc1,identity,42,max_depth,1.0,50,1.0,train,0.7595,0.7568250758341759,0.7776623376623376,0.7370753323485968,0.7066957259874541
polymerase,oc1,identity,42,max_depth,1.0,50,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,oc1,identity,42,max_depth,2.0,50,1.0,train,0.79825,0.8204671857619578,0.7483766233766234,0.9079271294928607,0.7778607491076985
polymerase,oc1,identity,42,max_depth,2.0,50,1.0,test,0.7818909454727364,0.8046594982078853,0.7277147487844409,0.8997995991983968,0.7664056150521331
polymerase,oc1,identity,42,max_depth,3.0,50,1.0,train,0.83875,0.8488399343801265,0.8099284436493739,0.8916789758739537,0.8393994532049671
polymerase,oc1,identity,42,max_depth,3.0,50,1.0,test,0.8309154577288644,0.839047619047619,0.7994555353901996,0.8827655310621243,0.8354244788153271
polymerase,oc1,identity,42,max_depth,4.0,50,1.0,train,0.8655,0.8717826501429933,0.8448036951501154,0.9005416051206302,0.886837017327446
polymerase,oc1,identity,42,max_depth,4.0,50,1.0,test,0.8214107053526764,0.8271186440677966,0.8003748828491096,0.8557114228456913,0.8566127744065963
polymerase,oc1,identity,42,max_depth,5.0,50,1.0,train,0.8805,0.8831295843520782,0.8771248178727538,0.8892171344165436,0.9015431612633925
polymerase,oc1,identity,42,max_depth,5.0,50,1.0,test,0.8389194597298649,0.8401191658391262,0.8326771653543307,0.8476953907815631,0.8713285075776691
polymerase,oc1,identity,42,max_depth,6.0,50,1.0,train,0.8895,0.8908102766798419,0.8939018344075359,0.8877400295420975,0.9243551751339414
polymerase,oc1,identity,42,max_depth,6.0,50,1.0,test,0.8289144572286143,0.8279678068410463,0.8313131313131313,0.8246492985971944,0.8640424278304102
polymerase,oc1,identity,43,max_depth,1.0,50,1.0,train,0.76225,0.7607547169811321,0.7887323943661971,0.7346938775510204,0.715976861167002
