dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,xgboost,kmer_count,42,max_depth,1.0,2,1.0,train,0.782,0.7852216748768472,0.7856086742237556,0.7848350566223535,0.875986589949435
polymerase,xgboost,kmer_count,42,max_depth,1.0,2,1.0,test,0.7583791895947974,0.7635829662261381,0.7464114832535885,0.781563126252505,0.8521768868340879
polymerase,xgboost,kmer_count,42,max_depth,2.0,2,1.0,train,0.80075,0.8046089727874479,0.80126953125,0.8079763663220089,0.893184265076565
polymerase,xgboost,kmer_count,42,max_depth,2.0,2,1.0,test,0.7568784392196098,0.7636186770428015,0.7419659735349716,0.7865731462925851,0.8509128021486905
polymerase,xgboost,kmer_count,42,max_depth,3.0,2,1.0,train,0.817,0.8187221396731055,0.8236173393124065,0.8138847858197932,0.9073671531859131
polymerase,xgboost,kmer_count,42,max_depth,3.0,2,1.0,test,0.7613806903451726,0.763744427934621,0.7551420176297747,0.7725450901803608,0.8516347127016197
polymerase,xgboost,kmer_count,42,max_depth,4.0,2,1.0,train,0.83825,0.8399703190699975,0.8439363817097415,0.8360413589364845,0.9205757872813728
polymerase,xgboost,kmer_count,42,max_depth,4.0,2,1.0,test,0.7578789394697348,0.7620452310717798,0.7480694980694981,0.7765531062124249,0.8491056532169274
polymerase,xgboost,kmer_count,42,max_depth,5.0,2,1.0,train,0.8465,0.8479445269935612,0.8530144494270054,0.8429345150172329,0.928711629365696
polymerase,xgboost,kmer_count,42,max_depth,5.0,2,1.0,test,0.7603801900950475,0.7632229362333168,0.7531707317073171,0.7735470941883767,0.846584886066018
polymerase,xgboost,kmer_count,42,max_depth,6.0,2,1.0,train,0.8525,0.8546081813701331,0.8554514060187469,0.8537666174298375,0.9320735791863564
polymerase,xgboost,kmer_count,42,max_depth,6.0,2,1.0,test,0.7503751875937968,0.7526028755577591,0.7448478900883219,0.7605210420841684,0.8460839018297002
polymerase,xgboost,kmer_count,43,max_depth,1.0,2,1.0,train,0.7865,0.7923151750972762,0.7930866601752677,0.7915451895043731,0.8834580641813571
polymerase,xgboost,kmer_count,43,max_depth,1.0,2,1.0,test,0.7658829414707353,0.7719298245614035,0.7514231499051234,0.7935871743486974,0.8565883340527078
polymerase,xgboost,kmer_count,43,max_depth,2.0,2,1.0,train,0.80525,0.8100463301633748,0.8130200685266764,0.8070942662779398,0.8996950629656909
polymerase,xgboost,kmer_count,43,max_depth,2.0,2,1.0,test,0.7603801900950475,0.7671366067087992,0.7450424929178471,0.7905811623246493,0.8511868991232318
polymerase,xgboost,kmer_count,43,max_depth,3.0,2,1.0,train,0.8245,0.8281938325991189,0.834319526627219,0.8221574344023324,0.9131814403419322
polymerase,xgboost,kmer_count,43,max_depth,3.0,2,1.0,test,0.7588794397198599,0.7639569049951028,0.7471264367816092,0.781563126252505,0.8510640240372186
polymerase,xgboost,kmer_count,43,max_depth,4.0,2,1.0,train,0.844,0.8475818270639961,0.8521611001964636,0.8430515063168125,0.9269713988546258
polymerase,xgboost,kmer_count,43,max_depth,4.0,2,1.0,test,0.7623811905952976,0.7670426679744973,0.7512007684918348,0.7835671342685371,0.8485166853802872
polymerase,xgboost,kmer_count,43,max_depth,5.0,2,1.0,train,0.85025,0.8532222494486645,0.8606030647553139,0.8459669582118562,0.9325406289762711
polymerase,xgboost,kmer_count,43,max_depth,5.0,2,1.0,test,0.7538769384692346,0.7578740157480315,0.7446808510638298,0.7715430861723447,0.8505480352101727
polymerase,xgboost,kmer_count,43,max_depth,6.0,2,1.0,train,0.8625,0.8658536585365854,0.8692458374142997,0.8624878522837707,0.9377116816552555
polymerase,xgboost,kmer_count,43,max_depth,6.0,2,1.0,test,0.7613806903451726,0.7625684420109508,0.7576656775469832,0.7675350701402806,0.8463326349643099
polymerase,xgboost,kmer_count,44,max_depth,1.0,2,1.0,train,0.792,0.7941613062840178,0.797317436661699,0.7910300640709709,0.88150704398766
polymerase,xgboost,kmer_count,44,max_depth,1.0,2,1.0,test,0.7593796898449224,0.7627035027133695,0.7512147716229349,0.7745490981963928,0.8545623749114293
polymerase,xgboost,kmer_count,44,max_depth,2.0,2,1.0,train,0.804,0.8058444774640912,0.8098556495769039,0.8018728437654017,0.8964435338792783
polymerase,xgboost,kmer_count,44,max_depth,2.0,2,1.0,test,0.7588794397198599,0.7613861386138614,0.7524461839530333,0.7705410821643287,0.8513177953778241
polymerase,xgboost,kmer_count,44,max_depth,3.0,2,1.0,train,0.82075,0.8212415856394913,0.830978809283552,0.8117299162148842,0.9096902229053396
