depth,accuracy,auprc,f1,precision,recall,isTrain,method,random_seed
1,0.77825,,,,,True,no_prior_knowledge_depth_10,42
2,0.82025,,,,,True,no_prior_knowledge_depth_10,42
3,0.87875,,,,,True,no_prior_knowledge_depth_10,42
4,0.88525,,,,,True,no_prior_knowledge_depth_10,42
5,0.88875,,,,,True,no_prior_knowledge_depth_10,42
6,0.88875,,,,,True,no_prior_knowledge_depth_10,42
7,0.8945,,,,,True,no_prior_knowledge_depth_10,42
8,0.89575,,,,,True,no_prior_knowledge_depth_10,42
9,0.89575,,,,,True,no_prior_knowledge_depth_10,42
10,0.89575,,,,,True,no_prior_knowledge_depth_10,42
1,0.79425,,,,,True,no_prior_knowledge_depth_10,43
2,0.82275,,,,,True,no_prior_knowledge_depth_10,43
3,0.87975,,,,,True,no_prior_knowledge_depth_10,43
4,0.88475,,,,,True,no_prior_knowledge_depth_10,43
5,0.88475,,,,,True,no_prior_knowledge_depth_10,43
6,0.89575,,,,,True,no_prior_knowledge_depth_10,43
7,0.89725,,,,,True,no_prior_knowledge_depth_10,43
8,0.89825,,,,,True,no_prior_knowledge_depth_10,43
9,0.89825,,,,,True,no_prior_knowledge_depth_10,43
10,0.89825,,,,,True,no_prior_knowledge_depth_10,43
1,0.76675,,,,,True,no_prior_knowledge_depth_10,44
2,0.80475,,,,,True,no_prior_knowledge_depth_10,44
3,0.86875,,,,,True,no_prior_knowledge_depth_10,44
4,0.8735,,,,,True,no_prior_knowledge_depth_10,44
5,0.88475,,,,,True,no_prior_knowledge_depth_10,44
6,0.89325,,,,,True,no_prior_knowledge_depth_10,44
7,0.8985,,,,,True,no_prior_knowledge_depth_10,44
8,0.8985,,,,,True,no_prior_knowledge_depth_10,44
9,0.8985,,,,,True,no_prior_knowledge_depth_10,44
10,0.8985,,,,,True,no_prior_knowledge_depth_10,44
1,0.75975,,,,,True,no_prior_knowledge_depth_10,45
2,0.77425,,,,,True,no_prior_knowledge_depth_10,45
3,0.8405,,,,,True,no_prior_knowledge_depth_10,45
4,0.86275,,,,,True,no_prior_knowledge_depth_10,45
5,0.8835,,,,,True,no_prior_knowledge_depth_10,45
6,0.88775,,,,,True,no_prior_knowledge_depth_10,45
7,0.8935,,,,,True,no_prior_knowledge_depth_10,45
8,0.89375,,,,,True,no_prior_knowledge_depth_10,45
9,0.89375,,,,,True,no_prior_knowledge_depth_10,45
10,0.89375,,,,,True,no_prior_knowledge_depth_10,45
1,0.76575,,,,,True,no_prior_knowledge_depth_10,46
2,0.8095,,,,,True,no_prior_knowledge_depth_10,46
3,0.8685,,,,,True,no_prior_knowledge_depth_10,46
4,0.87425,,,,,True,no_prior_knowledge_depth_10,46
5,0.88,,,,,True,no_prior_knowledge_depth_10,46
6,0.89325,,,,,True,no_prior_knowledge_depth_10,46
7,0.8935,,,,,True,no_prior_knowledge_depth_10,46
8,0.89725,,,,,True,no_prior_knowledge_depth_10,46
9,0.89725,,,,,True,no_prior_knowledge_depth_10,46
10,0.89725,,,,,True,no_prior_knowledge_depth_10,46
1,0.76725,,,,,True,original,42
2,0.85725,,,,,True,original,42
3,0.873,,,,,True,original,42
4,0.88375,,,,,True,original,42
5,0.891,,,,,True,original,42
6,0.8925,,,,,True,original,42
7,0.8925,,,,,True,original,42
8,0.8925,,,,,True,original,42
9,0.8925,,,,,True,original,42
10,0.8925,,,,,True,original,42
1,0.77175,,,,,True,original,43
2,0.8225,,,,,True,original,43
3,0.87675,,,,,True,original,43
4,0.89675,,,,,True,original,43
5,0.8995,,,,,True,original,43
6,0.90025,,,,,True,original,43
7,0.90025,,,,,True,original,43
8,0.903,,,,,True,original,43
9,0.903,,,,,True,original,43
10,0.903,,,,,True,original,43
1,0.7675,,,,,True,original,44
2,0.83425,,,,,True,original,44
3,0.8775,,,,,True,original,44
4,0.87925,,,,,True,original,44
5,0.8875,,,,,True,original,44
6,0.896,,,,,True,original,44
7,0.898,,,,,True,original,44
8,0.898,,,,,True,original,44
9,0.898,,,,,True,original,44
10,0.898,,,,,True,original,44
1,0.774,,,,,True,original,45
2,0.8485,,,,,True,original,45
3,0.8785,,,,,True,original,45
4,0.8885,,,,,True,original,45
5,0.8975,,,,,True,original,45
6,0.90125,,,,,True,original,45
7,0.90125,,,,,True,original,45
8,0.90125,,,,,True,original,45
9,0.90125,,,,,True,original,45
10,0.90125,,,,,True,original,45
1,0.764,,,,,True,original,46
2,0.81575,,,,,True,original,46
3,0.8565,,,,,True,original,46
4,0.887,,,,,True,original,46
5,0.88925,,,,,True,original,46
6,0.89975,,,,,True,original,46
7,0.89975,,,,,True,original,46
8,0.90375,,,,,True,original,46
9,0.90375,,,,,True,original,46
10,0.90375,,,,,True,original,46
1,0.7595,,,,,True,reflection_0,42
2,0.79625,,,,,True,reflection_0,42
3,0.84075,,,,,True,reflection_0,42
4,0.86825,,,,,True,reflection_0,42
5,0.878,,,,,True,reflection_0,42
6,0.8785,,,,,True,reflection_0,42
7,0.8785,,,,,True,reflection_0,42
8,0.8785,,,,,True,reflection_0,42
9,0.8785,,,,,True,reflection_0,42
10,0.8785,,,,,True,reflection_0,42
1,0.7635,,,,,True,reflection_0,43
2,0.813,,,,,True,reflection_0,43
3,0.8695,,,,,True,reflection_0,43
4,0.87025,,,,,True,reflection_0,43
5,0.88025,,,,,True,reflection_0,43
6,0.89125,,,,,True,reflection_0,43
7,0.89125,,,,,True,reflection_0,43
8,0.89475,,,,,True,reflection_0,43
9,0.89475,,,,,True,reflection_0,43
10,0.89475,,,,,True,reflection_0,43
1,0.76375,,,,,True,reflection_0,44
2,0.80925,,,,,True,reflection_0,44
3,0.866,,,,,True,reflection_0,44
4,0.86825,,,,,True,reflection_0,44
5,0.883,,,,,True,reflection_0,44
6,0.8885,,,,,True,reflection_0,44
7,0.89325,,,,,True,reflection_0,44
8,0.89325,,,,,True,reflection_0,44
9,0.89325,,,,,True,reflection_0,44
10,0.89325,,,,,True,reflection_0,44
1,0.764,,,,,True,reflection_0,45
2,0.7705,,,,,True,reflection_0,45
3,0.84575,,,,,True,reflection_0,45
4,0.8575,,,,,True,reflection_0,45
5,0.86575,,,,,True,reflection_0,45
6,0.87175,,,,,True,reflection_0,45
7,0.8725,,,,,True,reflection_0,45
8,0.8725,,,,,True,reflection_0,45
9,0.8725,,,,,True,reflection_0,45
10,0.8725,,,,,True,reflection_0,45
1,0.764,,,,,True,reflection_0,46
2,0.8115,,,,,True,reflection_0,46
3,0.84675,,,,,True,reflection_0,46
4,0.877,,,,,True,reflection_0,46
5,0.8825,,,,,True,reflection_0,46
6,0.8875,,,,,True,reflection_0,46
7,0.893,,,,,True,reflection_0,46
8,0.893,,,,,True,reflection_0,46
9,0.893,,,,,True,reflection_0,46
10,0.893,,,,,True,reflection_0,46
1,0.76725,,0.7877820834283109,0.733446519524618,0.8508124076809453,True,no_adaptivity,42
2,0.80425,,0.8110977080820265,0.7951750236518449,0.82767109798129,True,no_adaptivity,42
3,0.86725,,0.8767695521002553,0.8292361720807726,0.930083702609552,True,no_adaptivity,42
4,0.87,,0.8765432098765432,0.8464007336084365,0.9089118660758247,True,no_adaptivity,42
5,0.8755,,0.8841860465116279,0.8378140149845748,0.9359921221073364,True,no_adaptivity,42
6,0.88525,,0.8921775898520085,0.8530997304582211,0.9350073855243722,True,no_adaptivity,42
7,0.8885,,0.890686274509804,0.8867740361151781,0.8946331856228459,True,no_adaptivity,42
8,0.896,,0.8998073217726397,0.8807166430928807,0.9197439684884292,True,no_adaptivity,42
9,0.896,,0.8998073217726397,0.8807166430928807,0.9197439684884292,True,no_adaptivity,42
10,0.896,,0.8998073217726397,0.8807166430928807,0.9197439684884292,True,no_adaptivity,42
1,0.7735,,0.7748508946322068,0.7929806714140386,0.7575315840621963,True,no_adaptivity,43
2,0.819,,0.8422657952069716,0.7634281200631912,0.9392614188532556,True,no_adaptivity,43
3,0.87725,,0.8831230659366818,0.8656089594027064,0.9013605442176872,True,no_adaptivity,43
4,0.88175,,0.8896149358226371,0.8558599012123933,0.9261418853255587,True,no_adaptivity,43
5,0.8935,,0.9005602240896359,0.866576819407008,0.9373177842565598,True,no_adaptivity,43
6,0.89875,,0.9033182143709716,0.8878460816518067,0.9193391642371236,True,no_adaptivity,43
7,0.90475,,0.9101203113941968,0.8844566712517193,0.9373177842565598,True,no_adaptivity,43
8,0.90475,,0.9101203113941968,0.8844566712517193,0.9373177842565598,True,no_adaptivity,43
9,0.90475,,0.9101203113941968,0.8844566712517193,0.9373177842565598,True,no_adaptivity,43
10,0.90475,,0.9101203113941968,0.8844566712517193,0.9373177842565598,True,no_adaptivity,43
1,0.7675,,0.7872827081427265,0.7345283824157064,0.8482010842779695,True,no_adaptivity,44
2,0.8045,,0.8145161290322581,0.7850937357110197,0.8462296697880729,True,no_adaptivity,44
3,0.87025,,0.8780258519388954,0.839173405211141,0.9206505667816658,True,no_adaptivity,44
4,0.873,,0.8778846153846154,0.8568747067104646,0.8999507146377526,True,no_adaptivity,44
5,0.8785,,0.8868715083798883,0.8403176003528893,0.9388861508132084,True,no_adaptivity,44
6,0.88975,,0.8961619967035555,0.8579801623083859,0.9379004435682602,True,no_adaptivity,44
7,0.88975,,0.8961619967035555,0.8579801623083859,0.9379004435682602,True,no_adaptivity,44
8,0.89925,,0.9023503755754786,0.8875119161105816,0.917693445046821,True,no_adaptivity,44
9,0.89925,,0.9023503755754786,0.8875119161105816,0.917693445046821,True,no_adaptivity,44
10,0.89925,,0.9023503755754786,0.8875119161105816,0.917693445046821,True,no_adaptivity,44
1,0.77775,,0.7779165625780664,0.7915607524148449,0.7647347740667977,True,no_adaptivity,45
2,0.81625,,0.8392036753445635,0.7566074950690336,0.9420432220039292,True,no_adaptivity,45
3,0.872,,0.877511961722488,0.855410447761194,0.900785854616896,True,no_adaptivity,45
4,0.87775,,0.8856675239653963,0.8451584114234717,0.9302554027504912,True,no_adaptivity,45
5,0.88775,,0.8947738457932974,0.8556701030927835,0.93762278978389,True,no_adaptivity,45
6,0.892,,0.8964525407478428,0.8754681647940075,0.918467583497053,True,no_adaptivity,45
7,0.898,,0.903637222484648,0.870336669699727,0.9395874263261296,True,no_adaptivity,45
8,0.898,,0.903637222484648,0.870336669699727,0.9395874263261296,True,no_adaptivity,45
9,0.898,,0.903637222484648,0.870336669699727,0.9395874263261296,True,no_adaptivity,45
10,0.898,,0.903637222484648,0.870336669699727,0.9395874263261296,True,no_adaptivity,45
1,0.77225,,0.7740014884644009,0.7910750507099391,0.7576493443419136,True,no_adaptivity,46
2,0.8185,,0.8422425032594524,0.7620920173023987,0.9412336085478388,True,no_adaptivity,46
3,0.87275,,0.8790686623901164,0.8604651162790697,0.8984944147644488,True,no_adaptivity,46
4,0.88025,,0.8884749708963912,0.853309481216458,0.9266634288489558,True,no_adaptivity,46
5,0.8915,,0.898975791433892,0.8632096557890031,0.9378338999514328,True,no_adaptivity,46
6,0.89625,,0.9001683906663459,0.8918017159199237,0.9086935405536668,True,no_adaptivity,46
7,0.90175,,0.9064062872112408,0.8892523364485981,0.9242350655658088,True,no_adaptivity,46
8,0.90175,,0.9064062872112408,0.8892523364485981,0.9242350655658088,True,no_adaptivity,46
9,0.90175,,0.9064062872112408,0.8892523364485981,0.9242350655658088,True,no_adaptivity,46
10,0.90175,,0.9064062872112408,0.8892523364485981,0.9242350655658088,True,no_adaptivity,46
1,0.7595,,0.7568250758341759,0.7776623376623376,0.7370753323485968,True,no_adaptivity,42
2,0.8,,0.8142127264282397,0.7705494505494506,0.8631216149679961,True,no_adaptivity,42
3,0.84575,,0.8560765103802193,0.813386524822695,0.9034958148695224,True,no_adaptivity,42
4,0.87525,,0.8792644568110332,0.8644148430066603,0.8946331856228459,True,no_adaptivity,42
5,0.8835,,0.885896180215475,0.8811495372625426,0.8906942392909897,True,no_adaptivity,42
6,0.893,,0.8940594059405941,0.8989547038327527,0.8892171344165436,True,no_adaptivity,42
7,0.893,,0.8940594059405941,0.8989547038327527,0.8892171344165436,True,no_adaptivity,42
8,0.893,,0.8940594059405941,0.8989547038327527,0.8892171344165436,True,no_adaptivity,42
9,0.89325,,0.8927943760984183,0.9108606557377048,0.8754308222550468,True,no_adaptivity,42
10,0.89325,,0.8927943760984183,0.9108606557377048,0.8754308222550468,True,no_adaptivity,42
1,0.7635,,0.7619526925012582,0.7901878914405011,0.7356656948493683,True,no_adaptivity,43
2,0.813,,0.8347326557666814,0.7653970826580226,0.9178814382896016,True,no_adaptivity,43
3,0.87075,,0.8764044943820225,0.8625882352941177,0.89067055393586,True,no_adaptivity,43
4,0.87775,,0.882986360373295,0.8698727015558698,0.8965014577259475,True,no_adaptivity,43
5,0.89625,,0.8991984454700024,0.8989800874210782,0.8994169096209913,True,no_adaptivity,43
6,0.89625,,0.8991984454700024,0.8989800874210782,0.8994169096209913,True,no_adaptivity,43
7,0.90075,,0.9048646057991852,0.8926713947990543,0.9173955296404276,True,no_adaptivity,43
8,0.90075,,0.9048646057991852,0.8926713947990543,0.9173955296404276,True,no_adaptivity,43
9,0.90075,,0.9048646057991852,0.8926713947990543,0.9173955296404276,True,no_adaptivity,43
10,0.90075,,0.9048646057991852,0.8926713947990543,0.9173955296404276,True,no_adaptivity,43
1,0.76375,,0.7609410574247407,0.7817047817047817,0.7412518482010843,True,no_adaptivity,44
2,0.80925,,0.8324917672886938,0.7505938242280285,0.9344504682109414,True,no_adaptivity,44
3,0.86675,,0.8714113389626056,0.8534971644612477,0.89009364218827,True,no_adaptivity,44
4,0.8715,,0.876204238921002,0.856806406029204,0.8965007392804337,True,no_adaptivity,44
5,0.891,,0.8923988153998026,0.893722194760257,0.8910793494332183,True,no_adaptivity,44
6,0.891,,0.8923988153998026,0.893722194760257,0.8910793494332183,True,no_adaptivity,44
7,0.89375,,0.8968196164117505,0.8837320574162679,0.9103006407097092,True,no_adaptivity,44
8,0.89375,,0.8968196164117505,0.8837320574162679,0.9103006407097092,True,no_adaptivity,44
9,0.89375,,0.8968196164117505,0.8837320574162679,0.9103006407097092,True,no_adaptivity,44
10,0.89375,,0.8968196164117505,0.8837320574162679,0.9103006407097092,True,no_adaptivity,44
1,0.75975,,0.7886518583681549,0.714058144165671,0.880648330058939,True,no_adaptivity,45
2,0.8085,,0.8170090778786431,0.7953488372093023,0.8398821218074656,True,no_adaptivity,45
3,0.8545,,0.8626062322946175,0.8304545454545454,0.8973477406679764,True,no_adaptivity,45
4,0.88075,,0.8844196753089412,0.8727881396461024,0.8963654223968566,True,no_adaptivity,45
5,0.88175,,0.8864890808735301,0.8667292351008916,0.9071709233791748,True,no_adaptivity,45
6,0.88175,,0.8864890808735301,0.8667292351008916,0.9071709233791748,True,no_adaptivity,45
7,0.88675,,0.8895391367959035,0.8832929782082325,0.8958742632612967,True,no_adaptivity,45
8,0.88675,,0.8895391367959035,0.8832929782082325,0.8958742632612967,True,no_adaptivity,45
9,0.88675,,0.8895391367959035,0.8832929782082325,0.8958742632612967,True,no_adaptivity,45
10,0.88675,,0.8895391367959035,0.8832929782082325,0.8958742632612967,True,no_adaptivity,45
1,0.764,,0.7628140703517587,0.7902134305049453,0.7372510927634774,True,no_adaptivity,46
2,0.807,,0.8217913204062789,0.7831060272767268,0.8644973288003885,True,no_adaptivity,46
3,0.85425,,0.8634980098337626,0.833634719710669,0.8955803788246721,True,no_adaptivity,46
