dataset,model,featurizer,seed,sweep_param,sweep_value,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,cart,identity,42,max_depth,1.0,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,cart,identity,42,max_depth,1.0,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,cart,identity,42,max_depth,2.0,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,cart,identity,42,max_depth,2.0,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,cart,identity,42,max_depth,3.0,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.781829672013721
promoters,cart,identity,42,max_depth,3.0,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7799228749027455
promoters,cart,identity,42,max_depth,4.0,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8108038715597938
promoters,cart,identity,42,max_depth,4.0,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8118865388674581
promoters,cart,identity,42,max_depth,5.0,1.0,train,0.7813411078717201,0.8070346849047386,0.7761698928772787,0.8404558404558404,0.8308511077901187
promoters,cart,identity,42,max_depth,5.0,1.0,test,0.7825990701793225,0.8079405437121064,0.777819619657315,0.8404883011190234,0.825912599163307
promoters,cart,identity,42,max_depth,6.0,1.0,train,0.7817101524153965,0.8101550213435184,0.7688699360341151,0.8561253561253561,0.8492793515493329
promoters,cart,identity,42,max_depth,6.0,1.0,test,0.7827097631171132,0.8109045371351508,0.7700329308452251,0.8563580874872838,0.8422033521905248
promoters,cart,identity,43,max_depth,1.0,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,cart,identity,43,max_depth,1.0,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,cart,identity,43,max_depth,2.0,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,cart,identity,43,max_depth,2.0,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,cart,identity,43,max_depth,3.0,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.781829672013721
promoters,cart,identity,43,max_depth,3.0,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7799228749027455
promoters,cart,identity,43,max_depth,4.0,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8108038715597938
promoters,cart,identity,43,max_depth,4.0,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8118865388674581
promoters,cart,identity,43,max_depth,5.0,1.0,train,0.7813411078717201,0.8070346849047386,0.7761698928772787,0.8404558404558404,0.8308511077901187
promoters,cart,identity,43,max_depth,5.0,1.0,test,0.7825990701793225,0.8079405437121064,0.777819619657315,0.8404883011190234,0.825912599163307
promoters,cart,identity,43,max_depth,6.0,1.0,train,0.7817101524153965,0.8101550213435184,0.7688699360341151,0.8561253561253561,0.8492793515493329
promoters,cart,identity,43,max_depth,6.0,1.0,test,0.7827097631171132,0.8109045371351508,0.7700329308452251,0.8563580874872838,0.8422033521905248
promoters,cart,identity,44,max_depth,1.0,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,cart,identity,44,max_depth,1.0,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,cart,identity,44,max_depth,2.0,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,cart,identity,44,max_depth,2.0,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,cart,identity,44,max_depth,3.0,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.781829672013721
promoters,cart,identity,44,max_depth,3.0,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7799228749027455
promoters,cart,identity,44,max_depth,4.0,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8108038715597938
promoters,cart,identity,44,max_depth,4.0,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8118865388674581
promoters,cart,identity,44,max_depth,5.0,1.0,train,0.7813411078717201,0.8070346849047386,0.7761698928772787,0.8404558404558404,0.8308511077901187
promoters,cart,identity,44,max_depth,5.0,1.0,test,0.7825990701793225,0.8079405437121064,0.777819619657315,0.8404883011190234,0.825912599163307
promoters,cart,identity,44,max_depth,6.0,1.0,train,0.7817101524153965,0.8101550213435184,0.7688699360341151,0.8561253561253561,0.8492793515493329
promoters,cart,identity,44,max_depth,6.0,1.0,test,0.7827097631171132,0.8109045371351508,0.7700329308452251,0.8563580874872838,0.8422033521905248
