dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,cart,kmer_count,42,max_depth,1.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.7877731054983504
promoters,cart,kmer_count,42,max_depth,1.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.7769272748168061
promoters,cart,kmer_count,42,max_depth,2.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.841275249313377
promoters,cart,kmer_count,42,max_depth,2.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.8310814979759611
promoters,cart,kmer_count,42,max_depth,3.0,2,1.0,train,0.7950695648964831,0.7901439854880767,0.8920556361464289,0.7091303757970424,0.8624991479217127
promoters,cart,kmer_count,42,max_depth,3.0,2,1.0,test,0.7891299535089661,0.7847214374505593,0.8825622775800712,0.7064089521871821,0.8549751717455203
promoters,cart,kmer_count,42,max_depth,4.0,2,1.0,train,0.7963612207993505,0.7874094621667437,0.9112716247547709,0.6931895265228598,0.8802585534910456
promoters,cart,kmer_count,42,max_depth,4.0,2,1.0,test,0.7895727252601284,0.7814691343832625,0.8982558139534884,0.6915564598168871,0.8761353235370418
promoters,cart,kmer_count,42,max_depth,5.0,2,1.0,train,0.7982802524264678,0.7936268217171336,0.894925068119891,0.7129290462623796,0.8949057722984175
promoters,cart,kmer_count,42,max_depth,5.0,2,1.0,test,0.7924507416426831,0.7889226612630867,0.8830645161290323,0.7129196337741607,0.8891339817708244
promoters,cart,kmer_count,42,max_depth,6.0,2,1.0,train,0.7992766726943942,0.7973169368362214,0.8846440089307864,0.7256817256817257,0.9022229567675387
promoters,cart,kmer_count,42,max_depth,6.0,2,1.0,test,0.7931148992694266,0.7926788685524127,0.8714634146341463,0.7269582909460834,0.8971789622405912
promoters,cart,kmer_count,43,max_depth,1.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.7877731054983504
promoters,cart,kmer_count,43,max_depth,1.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.7769272748168061
promoters,cart,kmer_count,43,max_depth,2.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.841275249313377
promoters,cart,kmer_count,43,max_depth,2.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.8310814979759611
promoters,cart,kmer_count,43,max_depth,3.0,2,1.0,train,0.7950695648964831,0.7901439854880767,0.8920556361464289,0.7091303757970424,0.8624991479217127
promoters,cart,kmer_count,43,max_depth,3.0,2,1.0,test,0.7891299535089661,0.7847214374505593,0.8825622775800712,0.7064089521871821,0.8549751717455203
promoters,cart,kmer_count,43,max_depth,4.0,2,1.0,train,0.7963612207993505,0.7874094621667437,0.9112716247547709,0.6931895265228598,0.8802585534910456
promoters,cart,kmer_count,43,max_depth,4.0,2,1.0,test,0.7895727252601284,0.7814691343832625,0.8982558139534884,0.6915564598168871,0.8761353235370418
promoters,cart,kmer_count,43,max_depth,5.0,2,1.0,train,0.7982802524264678,0.7936268217171336,0.894925068119891,0.7129290462623796,0.8949057722984175
promoters,cart,kmer_count,43,max_depth,5.0,2,1.0,test,0.7924507416426831,0.7889226612630867,0.8830645161290323,0.7129196337741607,0.8891339817708244
promoters,cart,kmer_count,43,max_depth,6.0,2,1.0,train,0.7992766726943942,0.7973169368362214,0.8846440089307864,0.7256817256817257,0.9022229567675387
promoters,cart,kmer_count,43,max_depth,6.0,2,1.0,test,0.7931148992694266,0.7926788685524127,0.8714634146341463,0.7269582909460834,0.8971789622405912
promoters,cart,kmer_count,44,max_depth,1.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.7877731054983504
promoters,cart,kmer_count,44,max_depth,1.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.7769272748168061
promoters,cart,kmer_count,44,max_depth,2.0,2,1.0,train,0.7838875152230874,0.7718026654196867,0.9068681318681319,0.6717541717541717,0.841275249313377
promoters,cart,kmer_count,44,max_depth,2.0,2,1.0,test,0.7759574939118884,0.7647058823529411,0.8920531597504746,0.669175991861648,0.8310814979759611
promoters,cart,kmer_count,44,max_depth,3.0,2,1.0,train,0.7950695648964831,0.7901439854880767,0.8920556361464289,0.7091303757970424,0.8624991479217127
promoters,cart,kmer_count,44,max_depth,3.0,2,1.0,test,0.7891299535089661,0.7847214374505593,0.8825622775800712,0.7064089521871821,0.8549751717455203
promoters,cart,kmer_count,44,max_depth,4.0,2,1.0,train,0.7963612207993505,0.7874094621667437,0.9112716247547709,0.6931895265228598,0.8802585534910456
promoters,cart,kmer_count,44,max_depth,4.0,2,1.0,test,0.7895727252601284,0.7814691343832625,0.8982558139534884,0.6915564598168871,0.8761353235370418
