dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,logreg,kmer_count,42,C,1.0,2,1.0,train,0.798575488061409,0.8005408565999123,0.8677705593408335,0.742979242979243,0.9027504033184868
promoters,logreg,kmer_count,42,C,1.0,2,1.0,test,0.796103608589772,0.7993901110869092,0.8600890555425358,0.7466937945066124,0.9011045814789715
promoters,logreg,kmer_count,43,C,1.0,2,1.0,train,0.798575488061409,0.8005408565999123,0.8677705593408335,0.742979242979243,0.9027504033184868
promoters,logreg,kmer_count,43,C,1.0,2,1.0,test,0.796103608589772,0.7993901110869092,0.8600890555425358,0.7466937945066124,0.9011045814789715
promoters,logreg,kmer_count,44,C,1.0,2,1.0,train,0.798575488061409,0.8005408565999123,0.8677705593408335,0.742979242979243,0.9027504033184868
promoters,logreg,kmer_count,44,C,1.0,2,1.0,test,0.796103608589772,0.7993901110869092,0.8600890555425358,0.7466937945066124,0.9011045814789715
promoters,logreg,kmer_count,45,C,1.0,2,1.0,train,0.798575488061409,0.8005408565999123,0.8677705593408335,0.742979242979243,0.9027504033184868
promoters,logreg,kmer_count,45,C,1.0,2,1.0,test,0.796103608589772,0.7993901110869092,0.8600890555425358,0.7466937945066124,0.9011045814789715
promoters,logreg,kmer_count,46,C,1.0,2,1.0,train,0.798575488061409,0.8005408565999123,0.8677705593408335,0.742979242979243,0.9027504033184868
promoters,logreg,kmer_count,46,C,1.0,2,1.0,test,0.796103608589772,0.7993901110869092,0.8600890555425358,0.7466937945066124,0.9011045814789715
