dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,oc1,identity,42,max_depth,1.0,20,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,oc1,identity,42,max_depth,1.0,20,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,oc1,identity,42,max_depth,2.0,20,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,oc1,identity,42,max_depth,2.0,20,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,oc1,identity,42,max_depth,3.0,20,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.781796867212222
promoters,oc1,identity,42,max_depth,3.0,20,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7797355248250519
promoters,oc1,identity,42,max_depth,4.0,20,1.0,train,0.7654352880392663,0.7993433514332617,0.7476083618755167,0.8587708587708588,0.8107176818395913
promoters,oc1,identity,42,max_depth,4.0,20,1.0,test,0.7723046269647996,0.8045234248788369,0.7548145506419401,0.8612410986775179,0.8115151870996999
promoters,oc1,identity,42,max_depth,5.0,20,1.0,train,0.782485145957117,0.8106527884862503,0.7699865739045527,0.8558540225206892,0.8320084395906479
promoters,oc1,identity,42,max_depth,5.0,20,1.0,test,0.7800531326101394,0.8084819277108434,0.7681318681318682,0.8533062054933875,0.8269020135317537
promoters,oc1,identity,42,max_depth,6.0,20,1.0,train,0.7834815662250434,0.8107114050653331,0.7730265181812589,0.8522588522588522,0.8603350331593677
promoters,oc1,identity,42,max_depth,6.0,20,1.0,test,0.7804959043613018,0.8080905835672119,0.7705795496493171,0.8494404883011191,0.8488627387365895
promoters,oc1,identity,43,max_depth,1.0,20,1.0,train,0.6771967376462339,0.6440112327540597,0.8049648997863466,0.5366978700312034,0.6840803704962093
promoters,oc1,identity,43,max_depth,1.0,20,1.0,test,0.6727916758910781,0.6394242498170285,0.7983551629607066,0.533265513733469,0.6796648754095738
promoters,oc1,identity,43,max_depth,2.0,20,1.0,train,0.6962025316455697,0.647119341563786,0.8791055206149546,0.512006512006512,0.7522194925763273
promoters,oc1,identity,43,max_depth,2.0,20,1.0,test,0.6938233340712863,0.6445643793369313,0.8747820020927799,0.5102746693794507,0.7495337760838043
promoters,oc1,identity,43,max_depth,3.0,20,1.0,train,0.7330700815588441,0.7882301273605622,0.693401329006336,0.9131054131054132,0.7900984697308846
promoters,oc1,identity,43,max_depth,3.0,20,1.0,test,0.7305733894177552,0.7863787958574688,0.6914647322117611,0.9114954221770092,0.7855389327072627
promoters,oc1,identity,43,max_depth,4.0,20,1.0,train,0.7681662176624718,0.8060632254877748,0.7396600566572238,0.8855650522317189,0.8266630817446643
promoters,oc1,identity,43,max_depth,4.0,20,1.0,test,0.7713083905246845,0.8080995727289615,0.7434626559562468,0.8850457782299085,0.8186609208785351
promoters,oc1,identity,43,max_depth,5.0,20,1.0,train,0.7856220245783666,0.7983196194840815,0.8176516606215775,0.7798806132139465,0.8538535279127937
promoters,oc1,identity,43,max_depth,5.0,20,1.0,test,0.7803852114235111,0.7936342833368005,0.8118748669929773,0.7761953204476093,0.8452901618993155
promoters,oc1,identity,43,max_depth,6.0,20,1.0,train,0.7888327121083515,0.811130182202271,0.78995756718529,0.8334690001356668,0.8711017400460082
promoters,oc1,identity,43,max_depth,6.0,20,1.0,test,0.7825990701793225,0.8062734267113829,0.7825004786521157,0.8315361139369277,0.8552659546350906
promoters,oc1,identity,44,max_depth,1.0,20,1.0,train,0.6470088939735026,0.6283849411399044,0.7353823770119123,0.5485687152353819,0.6490069095808246
promoters,oc1,identity,44,max_depth,1.0,20,1.0,test,0.6409121098073943,0.6230536834766442,0.7263614196694663,0.5454730417090539,0.6434985959913415
promoters,oc1,identity,44,max_depth,2.0,20,1.0,train,0.6776395910986456,0.646542305669081,0.8012235482900412,0.541921041921042,0.7185763263990756
promoters,oc1,identity,44,max_depth,2.0,20,1.0,test,0.6734558335178216,0.6417294146222978,0.7960228984633926,0.5375381485249237,0.7147691521616798
promoters,oc1,identity,44,max_depth,3.0,20,1.0,train,0.7328486548326383,0.7850717021466108,0.6980833201330587,0.8968253968253969,0.7818394816332592
promoters,oc1,identity,44,max_depth,3.0,20,1.0,test,0.7322337834846137,0.7846906987093903,0.6974683544303798,0.8968463886063073,0.7796980959636519
promoters,oc1,identity,44,max_depth,4.0,20,1.0,train,0.7664317083071926,0.8027795955252252,0.742463542567295,0.8737620404287071,0.8168540953355901
promoters,oc1,identity,44,max_depth,4.0,20,1.0,test,0.7718618552136374,0.8067510548523207,0.7481739130434782,0.8752797558494405,0.8135948620171929
promoters,oc1,identity,44,max_depth,5.0,20,1.0,train,0.7823375281396464,0.8102682879752944,0.7705580029368576,0.8542938542938543,0.8399319511500328
promoters,oc1,identity,44,max_depth,5.0,20,1.0,test,0.7825990701793225,0.8100947592341907,0.7718813340703888,0.8522889114954222,0.8376126074894943
promoters,oc1,identity,44,max_depth,6.0,20,1.0,train,0.7824113370483817,0.8132049169940438,0.7629294970871477,0.8705738705738706,0.8587992714275101
