dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
promoters,xgboost,kmer_count,42,max_depth,1.0,2,1.0,train,0.8058456655718346,0.803818473356453,0.8925879917184265,0.7311083977750644,0.9081498850403626
promoters,xgboost,kmer_count,42,max_depth,1.0,2,1.0,test,0.8007527119769758,0.8000888494002666,0.8808999755441428,0.7328585961342828,0.9063940755021245
promoters,xgboost,kmer_count,42,max_depth,2.0,2,1.0,train,0.8172860464258036,0.8165956658640489,0.8995348078021709,0.7476597476597476,0.9192683219294732
promoters,xgboost,kmer_count,42,max_depth,2.0,2,1.0,test,0.8160283373920744,0.8164347249834327,0.8929693162599662,0.7519837232960326,0.9170489602021514
promoters,xgboost,kmer_count,42,max_depth,3.0,2,1.0,train,0.8258478798390966,0.8261942469890612,0.9038601015392054,0.7608194274860941,0.9262823251442316
promoters,xgboost,kmer_count,42,max_depth,3.0,2,1.0,test,0.8191277396502104,0.8199250606127397,0.8944457802356336,0.7568667344862665,0.9216845628362247
promoters,xgboost,kmer_count,42,max_depth,4.0,2,1.0,train,0.8297966564564343,0.8306528603950943,0.9054594940762087,0.7672636005969339,0.9293514798633327
promoters,xgboost,kmer_count,42,max_depth,4.0,2,1.0,test,0.8233340712862519,0.824846356453029,0.8954014772456517,0.7645981688708037,0.9238784334891351
promoters,xgboost,kmer_count,42,max_depth,5.0,2,1.0,train,0.8304240321806842,0.8317281283187461,0.9037803422204537,0.770316103649437,0.9319648662808184
promoters,xgboost,kmer_count,42,max_depth,5.0,2,1.0,test,0.825105158290901,0.8279241995208015,0.8907897820482775,0.7733468972533062,0.9239237598837227
promoters,xgboost,kmer_count,42,max_depth,6.0,2,1.0,train,0.8348156622504336,0.8363556595495759,0.9070578905630452,0.7758784425451092,0.934025573502835
promoters,xgboost,kmer_count,42,max_depth,6.0,2,1.0,test,0.8218950630949745,0.8246321525885558,0.8880281690140845,0.7696846388606308,0.9251287364111267
promoters,xgboost,kmer_count,43,max_depth,1.0,2,1.0,train,0.8058456655718346,0.803818473356453,0.8925879917184265,0.7311083977750644,0.9081498850403626
promoters,xgboost,kmer_count,43,max_depth,1.0,2,1.0,test,0.8007527119769758,0.8000888494002666,0.8808999755441428,0.7328585961342828,0.9063940755021245
promoters,xgboost,kmer_count,43,max_depth,2.0,2,1.0,train,0.8172860464258036,0.8165956658640489,0.8995348078021709,0.7476597476597476,0.9192683219294732
promoters,xgboost,kmer_count,43,max_depth,2.0,2,1.0,test,0.8160283373920744,0.8164347249834327,0.8929693162599662,0.7519837232960326,0.9170489602021514
promoters,xgboost,kmer_count,43,max_depth,3.0,2,1.0,train,0.8258478798390966,0.8261942469890612,0.9038601015392054,0.7608194274860941,0.9262823251442316
promoters,xgboost,kmer_count,43,max_depth,3.0,2,1.0,test,0.8191277396502104,0.8199250606127397,0.8944457802356336,0.7568667344862665,0.9216845628362247
promoters,xgboost,kmer_count,43,max_depth,4.0,2,1.0,train,0.8297966564564343,0.8306528603950943,0.9054594940762087,0.7672636005969339,0.9293514798633327
promoters,xgboost,kmer_count,43,max_depth,4.0,2,1.0,test,0.8233340712862519,0.824846356453029,0.8954014772456517,0.7645981688708037,0.9238784334891351
promoters,xgboost,kmer_count,43,max_depth,5.0,2,1.0,train,0.8304240321806842,0.8317281283187461,0.9037803422204537,0.770316103649437,0.9319648662808184
promoters,xgboost,kmer_count,43,max_depth,5.0,2,1.0,test,0.825105158290901,0.8279241995208015,0.8907897820482775,0.7733468972533062,0.9239237598837227
promoters,xgboost,kmer_count,43,max_depth,6.0,2,1.0,train,0.8348156622504336,0.8363556595495759,0.9070578905630452,0.7758784425451092,0.934025573502835
promoters,xgboost,kmer_count,43,max_depth,6.0,2,1.0,test,0.8218950630949745,0.8246321525885558,0.8880281690140845,0.7696846388606308,0.9251287364111267
promoters,xgboost,kmer_count,44,max_depth,1.0,2,1.0,train,0.8058456655718346,0.803818473356453,0.8925879917184265,0.7311083977750644,0.9081498850403626
promoters,xgboost,kmer_count,44,max_depth,1.0,2,1.0,test,0.8007527119769758,0.8000888494002666,0.8808999755441428,0.7328585961342828,0.9063940755021245
promoters,xgboost,kmer_count,44,max_depth,2.0,2,1.0,train,0.8172860464258036,0.8165956658640489,0.8995348078021709,0.7476597476597476,0.9192683219294732
promoters,xgboost,kmer_count,44,max_depth,2.0,2,1.0,test,0.8160283373920744,0.8164347249834327,0.8929693162599662,0.7519837232960326,0.9170489602021514
promoters,xgboost,kmer_count,44,max_depth,3.0,2,1.0,train,0.8258478798390966,0.8261942469890612,0.9038601015392054,0.7608194274860941,0.9262823251442316
promoters,xgboost,kmer_count,44,max_depth,3.0,2,1.0,test,0.8191277396502104,0.8199250606127397,0.8944457802356336,0.7568667344862665,0.9216845628362247
promoters,xgboost,kmer_count,44,max_depth,4.0,2,1.0,train,0.8297966564564343,0.8306528603950943,0.9054594940762087,0.7672636005969339,0.9293514798633327
promoters,xgboost,kmer_count,44,max_depth,4.0,2,1.0,test,0.8233340712862519,0.824846356453029,0.8954014772456517,0.7645981688708037,0.9238784334891351
promoters,xgboost,kmer_count,44,max_depth,5.0,2,1.0,train,0.8304240321806842,0.8317281283187461,0.9037803422204537,0.770316103649437,0.9319648662808184
promoters,xgboost,kmer_count,44,max_depth,5.0,2,1.0,test,0.825105158290901,0.8279241995208015,0.8907897820482775,0.7733468972533062,0.9239237598837227
promoters,xgboost,kmer_count,44,max_depth,6.0,2,1.0,train,0.8348156622504336,0.8363556595495759,0.9070578905630452,0.7758784425451092,0.934025573502835
promoters,xgboost,kmer_count,44,max_depth,6.0,2,1.0,test,0.8218950630949745,0.8246321525885558,0.8880281690140845,0.7696846388606308,0.9251287364111267
promoters,xgboost,kmer_count,45,max_depth,1.0,2,1.0,train,0.8058456655718346,0.803818473356453,0.8925879917184265,0.7311083977750644,0.9081498850403626
promoters,xgboost,kmer_count,45,max_depth,1.0,2,1.0,test,0.8007527119769758,0.8000888494002666,0.8808999755441428,0.7328585961342828,0.9063940755021245
promoters,xgboost,kmer_count,45,max_depth,2.0,2,1.0,train,0.8172860464258036,0.8165956658640489,0.8995348078021709,0.7476597476597476,0.9192683219294732
promoters,xgboost,kmer_count,45,max_depth,2.0,2,1.0,test,0.8160283373920744,0.8164347249834327,0.8929693162599662,0.7519837232960326,0.9170489602021514
promoters,xgboost,kmer_count,45,max_depth,3.0,2,1.0,train,0.8258478798390966,0.8261942469890612,0.9038601015392054,0.7608194274860941,0.9262823251442316
promoters,xgboost,kmer_count,45,max_depth,3.0,2,1.0,test,0.8191277396502104,0.8199250606127397,0.8944457802356336,0.7568667344862665,0.9216845628362247
promoters,xgboost,kmer_count,45,max_depth,4.0,2,1.0,train,0.8297966564564343,0.8306528603950943,0.9054594940762087,0.7672636005969339,0.9293514798633327
promoters,xgboost,kmer_count,45,max_depth,4.0,2,1.0,test,0.8233340712862519,0.824846356453029,0.8954014772456517,0.7645981688708037,0.9238784334891351
promoters,xgboost,kmer_count,45,max_depth,5.0,2,1.0,train,0.8304240321806842,0.8317281283187461,0.9037803422204537,0.770316103649437,0.9319648662808184
promoters,xgboost,kmer_count,45,max_depth,5.0,2,1.0,test,0.825105158290901,0.8279241995208015,0.8907897820482775,0.7733468972533062,0.9239237598837227
promoters,xgboost,kmer_count,45,max_depth,6.0,2,1.0,train,0.8348156622504336,0.8363556595495759,0.9070578905630452,0.7758784425451092,0.934025573502835
promoters,xgboost,kmer_count,45,max_depth,6.0,2,1.0,test,0.8218950630949745,0.8246321525885558,0.8880281690140845,0.7696846388606308,0.9251287364111267
promoters,xgboost,kmer_count,46,max_depth,1.0,2,1.0,train,0.8058456655718346,0.803818473356453,0.8925879917184265,0.7311083977750644,0.9081498850403626
promoters,xgboost,kmer_count,46,max_depth,1.0,2,1.0,test,0.8007527119769758,0.8000888494002666,0.8808999755441428,0.7328585961342828,0.9063940755021245
promoters,xgboost,kmer_count,46,max_depth,2.0,2,1.0,train,0.8172860464258036,0.8165956658640489,0.8995348078021709,0.7476597476597476,0.9192683219294732
promoters,xgboost,kmer_count,46,max_depth,2.0,2,1.0,test,0.8160283373920744,0.8164347249834327,0.8929693162599662,0.7519837232960326,0.9170489602021514
promoters,xgboost,kmer_count,46,max_depth,3.0,2,1.0,train,0.8258478798390966,0.8261942469890612,0.9038601015392054,0.7608194274860941,0.9262823251442316
promoters,xgboost,kmer_count,46,max_depth,3.0,2,1.0,test,0.8191277396502104,0.8199250606127397,0.8944457802356336,0.7568667344862665,0.9216845628362247
promoters,xgboost,kmer_count,46,max_depth,4.0,2,1.0,train,0.8297966564564343,0.8306528603950943,0.9054594940762087,0.7672636005969339,0.9293514798633327
promoters,xgboost,kmer_count,46,max_depth,4.0,2,1.0,test,0.8233340712862519,0.824846356453029,0.8954014772456517,0.7645981688708037,0.9238784334891351
promoters,xgboost,kmer_count,46,max_depth,5.0,2,1.0,train,0.8304240321806842,0.8317281283187461,0.9037803422204537,0.770316103649437,0.9319648662808184
promoters,xgboost,kmer_count,46,max_depth,5.0,2,1.0,test,0.825105158290901,0.8279241995208015,0.8907897820482775,0.7733468972533062,0.9239237598837227
promoters,xgboost,kmer_count,46,max_depth,6.0,2,1.0,train,0.8348156622504336,0.8363556595495759,0.9070578905630452,0.7758784425451092,0.934025573502835
promoters,xgboost,kmer_count,46,max_depth,6.0,2,1.0,test,0.8218950630949745,0.8246321525885558,0.8880281690140845,0.7696846388606308,0.9251287364111267
